"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"N-Acetylserotonin",0.045901,-0.04252,-0.041797,-0.035076,0.049636,0.089298,-0.039715,0.031912,-0.17276,0.0012588,0.024703,0.065851,-0.18142,-0.067271,0.057612,0.029536,0.064599,-0.023116,-0.090691,-8.6767e-05
"Geranyl-PP",0.031052,-0.027384,0.055409,0.069739,-0.059729,-0.093319,0.041463,-0.10788,-0.045819,0.035708,0.0057452,-0.057864,0.005027,0.23295,-0.053432,0.017181,0.12516,0.14325,0.063977,-0.028722
"m-Coumaric acid",0.056061,0.016175,-0.034514,-0.087289,0.082219,0.13568,-0.05962,-0.069914,0.012758,0.0069133,-0.077124,-0.020053,0.04495,0.080877,-0.0029198,-0.023162,0.021116,0.062945,-0.048019,-0.0036247
"p-Cresol",0.025847,-0.012125,0.024262,-0.12349,0.13547,-0.081627,-0.1169,0.0051405,-0.092104,-0.01634,0.072652,-0.0038731,-0.02362,-0.052972,-0.011496,-0.0075198,-0.042473,0.027338,0.015403,-0.0042397
"(R)-Mevalonic acid-5-pyrophosphate",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"4-Methoxyphenylacetic acid",-0.039609,0.058626,-0.060797,-0.14419,-0.11863,-0.04311,0.018705,-0.032779,0.010471,0.0034428,-0.00026089,0.061334,0.038884,-0.036705,-0.053409,0.032894,0.060725,0.012778,0.026526,-0.025009
"Itaconic acid",-0.045862,0.11058,0.011034,0.0084516,0.01514,-0.01013,-0.04083,-0.034318,0.044736,-0.0065196,0.025422,0.20869,0.10599,-0.072677,-0.081969,0.088403,0.11762,0.05472,0.0083814,-0.016363
"Adrenic acid",0.053814,0.020046,0.013371,0.083019,-0.10775,-0.088459,-0.067102,-0.068631,0.032943,-0.0034759,-0.085751,0.028253,-0.064871,-0.063181,0.045602,-0.066243,-0.061285,-0.12075,0.09875,-0.0017985
"1,11-Undecanedicarboxylic acid",0.027526,0.020291,0.0092684,0.0070229,0.025643,-0.010461,0.16161,0.11985,0.0049836,0.16683,-0.061544,0.030718,0.11835,-0.12031,0.04485,0.14753,-0.022269,-0.017142,0.0091658,0.0045434
"Heneicosanoic acid",-0.059682,0.12285,0.039639,0.060783,0.07841,0.0073227,-0.0024955,-0.018862,-0.043232,0.04911,-0.021854,-0.079907,-0.03794,-0.026114,-0.011291,-0.057932,-0.040473,-0.015711,-0.060305,0.015833
"N2-Acetylornithine",-0.043813,-0.025335,-0.16827,-0.058868,-0.023141,-0.018453,0.022232,-0.053794,-0.078361,0.024982,-0.026767,-0.06307,0.0078264,-0.031896,-0.054735,-0.020221,-0.014717,-0.030364,-0.01185,-0.030754
"D-Cysteine",0.063159,0.038622,-0.023452,0.057477,-0.10288,0.037094,-0.12991,-0.028605,-0.030725,0.032115,-0.012268,0.01904,-0.10795,-0.024239,0.063263,-0.014721,-0.036656,0.024808,0.090179,0.018243
"D-Glutamine",-0.026847,-0.015865,-0.17203,0.075836,0.096281,-0.060996,-0.031775,-0.012381,0.0062084,-0.027774,-0.0058642,-0.017471,0.0025681,0.0098925,-0.016114,0.022578,0.00023637,-0.011336,-0.0035433,-0.022367
"Phosphonoacetate",-0.090148,-0.030293,-0.0075097,-0.023705,0.027657,0.098866,0.0011843,-0.037927,-0.0023404,-0.0099563,-0.032858,0.011325,0.016323,0.034873,0.0033803,-0.019057,-0.017083,-0.034643,0.024873,-0.0083341
"Galactinol",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Linoelaidic acid",0.030892,-0.052284,0.061827,0.015925,-0.0084923,-0.039814,0.14561,-0.11017,-0.075563,-0.091217,-0.015572,0.012297,-0.11211,0.0068417,0.06152,0.17071,0.065981,0.050299,0.15093,0.019034
"2-Phenylpropionate",-0.034545,0.1657,0.075426,0.05337,0.047361,0.005383,-0.018357,0.0027847,0.018922,-0.068938,-0.0089585,-0.01959,-0.018598,-0.0029834,-0.03301,0.0038016,-0.0025447,-0.05925,0.0074512,0.026783
"1-Naphthol",-0.015308,-0.039668,0.034074,0.02255,-0.060641,0.036297,-0.075738,-0.018426,0.079666,-0.1102,0.14372,-0.075452,0.13583,0.033652,0.24009,0.063154,0.038037,-0.0114,-0.15744,-0.017638
"D-Tryptophan",-0.05644,0.10332,-0.048864,-0.11411,-0.083865,-0.039067,0.015972,-0.0059516,0.0050828,-0.047172,-0.0096661,-0.046452,-0.0011898,-0.0085458,0.0053391,0.022557,0.023763,-0.021441,0.015899,-0.0026286
"2,4-Di-tert-butylphenol",-0.072106,0.1295,-0.0059879,0.035792,0.043872,-0.0031701,-0.020597,-0.044711,-0.016914,0.030027,0.011207,0.011823,-0.013928,-0.037553,-0.020098,-0.041581,0.036548,-0.0036655,-0.034231,-0.0063991
"Mulberrin",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Limocitrin",-0.051631,-0.023662,0.015949,0.046624,-0.033575,-0.053216,0.073524,-0.075662,0.070882,-0.01031,-0.0039918,0.053904,-0.16345,-0.15157,0.16473,-0.00059132,-0.028084,0.14209,0.072081,0.017313
"2',4'-Dihydroxyacetophenone",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0030598
"Indole-3-methyl acetate",-0.034048,0.1637,0.0075713,0.036023,0.071238,-0.021086,-0.00079715,0.020525,0.020124,-0.0012027,-0.054563,-0.080547,-0.055426,0.034769,-0.02913,-0.0018005,-0.15314,0.037276,0.0051936,0.031687
"5,7,3'-Trihydroxy-4'-methoxyflavanone",0.025965,0.010415,-0.042501,-0.056067,0.062605,0.18343,0.029758,-0.14748,0.066013,0.0047087,-0.067297,0.032893,0.0049856,0.090915,0.039638,-0.032511,-0.040083,-0.053419,0.037707,0.017234
"1,2,3-Propanetricarboxylic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"4-tert-Butylphenol",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Methylparaben",-0.028832,-0.022599,-0.17223,0.081086,0.084011,-0.06341,-0.030305,-0.0023587,0.0056314,-0.025213,-0.0076737,-0.014978,-0.0091952,0.024058,-0.015814,0.01233,-0.0050796,-0.0044062,0.0015797,-0.021243
"Propylparaben",-0.012004,-0.039666,-0.026892,-0.024531,0.030502,-0.077585,0.14518,-0.0052052,0.089994,-0.14863,-0.12895,0.0068022,0.023636,-0.12327,-0.049808,-0.13327,0.022487,0.18996,0.040155,-0.0083678
"2-Propylphenol",0.061464,0.044377,-0.027243,0.080144,-0.12791,0.04254,-0.097653,0.031295,-0.071225,0.0069399,-0.03813,0.0082683,-0.02633,0.020635,0.02075,-0.012834,-0.0072458,0.042528,0.028559,0.0030316
"Colubrinic acid",-0.0026415,-0.045957,0.032574,-0.065464,0.075273,0.032554,-0.016975,0.0061849,-0.029921,0.19934,0.005379,-0.092359,0.14802,-0.04153,0.026203,0.13715,-0.23597,0.0099361,0.068932,-0.01464
"Glycocholic acid",0.047322,0.037609,-0.024813,0.054627,-0.1027,0.038915,-0.12259,0.090358,-0.11973,-0.00018349,-0.096244,-0.011018,0.025755,0.030024,0.027756,-0.012461,0.053781,0.13979,-0.020387,-0.0037044
"2-Hydroxyadipic acid",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0023373
"Ursocholic acid",0.021689,-0.012499,0.021993,-0.12862,0.14088,-0.067018,-0.11889,-0.0043574,-0.093797,-0.0074501,0.078282,-0.00050091,-0.024809,-0.02948,-0.010014,-0.0019555,-0.044022,0.0065214,0.029921,-0.0064384
"p-Hydroxyhippuric acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Hesperetin 7-neohesperidoside",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Vanillin 4-sulfate",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"p-Coumaric acid sulfate",0.053724,0.026815,-0.00075667,0.035121,-0.016641,-0.068132,0.10389,0.11021,0.086343,0.11706,0.028567,0.010098,0.00026734,-0.011046,0.030925,0.059443,0.081128,-0.22022,0.11572,-0.0017435
"Octadecanedioic acid",0.044304,0.032708,0.022209,0.04474,-0.024485,-0.035656,-0.091845,-0.049956,-0.061134,-0.097809,-0.25198,0.017128,0.048395,0.028778,0.026086,0.010879,0.076503,-0.019875,-0.11065,-0.015289
"Serotonin",0.037348,0.015932,-0.006093,0.05398,-0.082037,0.016598,-0.045199,-0.011812,0.066244,-0.04858,0.16395,-0.083586,0.018325,-0.039714,-0.24633,-0.015135,-0.095602,-0.063844,-0.16127,0.005223
"Tetrahydrobiopterin",0.044755,0.0015101,-0.12202,-0.029579,0.022843,0.04878,0.021651,0.12378,-0.11329,-0.067737,0.0041513,0.018589,-0.020434,-0.086387,-0.013322,0.14201,0.018199,-0.040545,-0.10376,0.0030326
"Bilirubin",-0.016212,-0.057241,0.0011243,-0.16728,-0.05456,-0.06258,0.025578,0.071213,0.053932,-0.094032,-0.024935,-0.028804,0.024524,-0.047254,0.10612,-0.066347,-0.038922,0.049527,-0.15004,0.0044124
"Cyclic AMP",-0.043913,-0.089695,-0.023032,0.035714,0.01709,-0.0096486,0.0072864,0.073938,0.017603,0.0861,-0.0075499,0.08362,-0.076631,0.089043,-0.0048584,-0.24431,-0.16403,0.017239,-0.13478,0.017523
"Pipecolic acid",-0.021697,-0.041838,0.02921,0.0015775,-0.023968,0.024639,-0.041918,0.016324,0.072293,-0.098264,0.14046,-0.079457,0.18472,0.026518,0.2805,-0.070087,0.015124,-0.038961,0.0041097,-0.0059366
"gamma-Aminobutyric acid",-0.057509,0.083088,0.0074491,-0.086075,-0.065961,-0.038101,0.067682,-0.059844,-0.094573,0.092037,0.011728,0.058971,0.023004,-0.049984,-0.063223,-0.03775,-0.016446,0.03214,-0.082248,0.0064488
"Guanine",-0.028771,-0.03064,-0.17058,0.081319,0.083093,-0.06055,-0.031952,-8.7505e-05,0.0052116,-0.033123,-0.0097607,-0.013468,-0.014778,0.023616,-0.0087263,0.030557,-0.0023199,-0.017526,-0.013325,-0.013816
"Glutamic acid",-0.021389,0.11953,-0.060485,-0.10162,-0.08432,-0.043986,0.066954,0.056168,0.020535,-0.0019189,0.033935,-0.13139,-0.068527,0.021243,-0.059499,0.028099,-0.012991,0.018758,0.0032018,0.011892
"L-Tyrosine",0.022024,-0.052118,0.054685,-0.030161,-0.0045486,0.026302,-0.057573,0.16458,0.036347,-0.0048819,0.10429,-0.08213,0.13713,0.050741,0.23169,-0.037981,0.016444,0.018224,-0.073303,0.0083345
"Indoleacetic acid",-0.022221,7.529e-05,0.02748,0.09764,-0.10564,-0.10615,0.039562,-0.0089203,-0.15419,-0.12701,0.0074032,0.067551,0.049003,0.046768,-0.030316,-0.043878,-0.12117,-0.066799,0.010411,0.0061547
"L-Acetylcarnitine",-0.026777,-0.022943,-0.17323,0.082304,0.084381,-0.062965,-0.030272,-0.0065254,0.0025181,-0.025947,-0.0056509,-0.020032,-0.0045796,0.018647,-0.01199,0.017365,0.0022068,-0.0087626,0.0018796,-0.028969
"Methylmalonic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Oleic acid",-0.067493,0.13407,-0.022796,0.04395,0.05447,-0.0066743,0.022367,-0.014544,-0.047376,0.049171,-0.019329,-0.0067878,0.0151,0.02903,0.0073172,-0.0152,0.0040576,0.0022167,-0.037861,-0.0016188
"Orotic acid",-0.061777,-0.014903,-0.01809,0.017512,-0.046585,0.12996,-0.09867,-0.10167,0.076495,0.057308,-0.067478,-0.032067,-0.06317,0.058968,0.027231,-0.0033073,0.029651,0.036344,0.0214,0.017358
"Pyridoxine",-0.031946,-0.026211,0.011652,-0.072234,-0.05543,-0.017662,-0.001539,0.12519,0.1096,-0.022619,-0.028575,0.15009,-0.083326,0.14876,-0.061767,-0.10825,-0.18171,0.097726,0.024887,0.045245
"Sphingosine",-0.019399,-0.1136,0.10752,0.026474,0.0046633,-0.011691,0.010233,-0.06735,-0.15544,0.10733,-0.060423,-0.075842,-0.0071209,0.015586,-0.045064,0.069524,0.0046427,-0.024935,-0.037328,0.0016127
"Pyroglutamic acid",0.021442,-0.0054511,0.015389,0.010346,-0.041436,0.008487,0.055845,-0.076486,0.11624,-0.10735,0.20624,-0.040126,0.14922,0.067215,0.1892,-0.0092422,-0.03051,0.030027,-0.1057,-0.001223
"Sphinganine",-0.080818,0.044028,-0.054372,0.0070498,-0.025258,-0.040967,-0.032634,-0.11453,0.022025,0.054018,0.037374,0.064494,0.043719,-0.013379,0.018319,-0.034151,-0.028881,0.01847,-0.04462,-0.023864
"Urocanic acid",0.026513,-0.048717,-0.13654,0.014461,0.033766,0.057037,0.12385,-0.038205,0.022879,-0.11913,-0.082396,-0.048505,0.021915,-0.089603,-0.026454,-0.031851,0.043961,0.046916,-0.089445,-7.5409e-05
"Tyramine",0.065975,0.044754,-0.017042,0.071792,-0.10267,-0.016835,-0.044396,0.10047,-0.048672,0.073961,-0.017139,-0.0036692,-0.027922,0.041682,0.061666,0.054477,0.089809,0.06533,0.040314,-0.0054547
"12-Ketodeoxycholic acid",0.028304,-0.016191,0.034368,0.024761,-0.062161,-0.064753,-0.16694,-0.010709,0.030349,0.029574,-0.20152,-0.048942,0.067641,0.14981,-0.032127,-0.064699,0.046846,-0.0082354,-0.023388,-0.0085446
"3-Hydroxyadipic acid",0.051165,0.040609,-0.024251,0.037151,-0.044137,0.023029,0.065052,0.10062,-0.19819,-0.071771,0.07103,0.064415,0.059801,0.076262,0.0022686,0.026332,-0.044874,0.070194,-0.011974,0.0041587
"7-Ketodeoxycholic acid",-0.0091785,-0.038632,0.04183,0.033973,-0.027331,-0.0072925,-0.043764,-0.046486,-0.050933,0.17518,-0.13883,-0.11667,0.14095,-0.025584,-0.037133,0.11343,-0.23504,0.11103,0.053359,-0.014869
"17alpha-Estradiol",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Allocholic acid",0.018176,-0.054379,0.051532,0.015558,-0.067899,-0.03553,-0.16513,-0.0055104,0.034274,-0.0048588,-0.21762,-0.032863,0.028377,0.13328,0.0033758,0.035972,0.057723,-0.05911,-0.056183,-0.0053221
"3-Hydroxyvaleric acid",0.038562,-0.005242,0.00015194,-0.036473,0.065841,-0.033275,0.10735,0.039726,0.077265,-0.081569,-0.15483,-0.011353,0.079025,-0.18277,0.030509,-0.077697,0.043527,0.163,-0.13208,0.0058915
"Elaidic acid",0.023876,-0.064691,0.058522,-0.022193,-0.010951,-0.082605,0.16656,-0.044659,-0.18614,0.0072355,0.070684,-0.010793,0.0096011,0.021089,0.0093099,-0.069864,0.0018035,0.067282,-0.042435,-0.0057363
"2-Furoic acid",-0.026837,0.013123,-0.0023046,0.11501,-0.14768,-0.029561,-0.024911,0.14463,-0.071394,0.015356,-0.079025,-0.0056703,0.017174,-0.019156,0.039291,0.01132,0.082921,0.081004,0.0049604,-0.028171
"Glutaric acid",0.014347,-0.029297,0.00076664,-0.013887,0.04688,-0.0065889,0.064925,0.20588,0.15071,0.17249,0.0027788,-0.011274,0.023782,0.093045,-0.0052332,0.059932,0.01345,0.010394,0.044246,0.0008651
"Indolelactic acid",-0.063254,-0.0091194,-0.026882,0.033827,-0.04897,0.15296,0.012959,-0.072647,0.073403,0.023726,0.1037,-0.026939,-0.051139,0.066485,-0.062286,0.039897,-0.027521,0.012993,-0.036454,0.0181
"Linoleic acid",-0.06541,0.14736,0.015673,0.030951,0.028993,0.0019237,0.014148,0.012987,-0.020047,0.017869,-0.0076172,-0.06057,-0.014511,0.029249,0.0504,-0.028581,-0.023782,-0.011865,-0.024035,0.019965
"1-Methylnicotinamide",0.05492,0.035915,-0.033379,0.00021239,0.0011595,0.08689,0.062133,0.056415,-0.075805,-0.040053,0.12262,0.038049,0.086051,0.057138,-0.12332,-0.0086948,-0.10992,-0.22918,0.024788,0.019394
"Hydroxyoctanoic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Kynurenic acid",0.051935,0.039922,-0.023189,0.037717,-0.0455,0.02108,0.062044,0.090215,-0.19686,-0.079529,0.081527,0.062167,0.054779,0.072773,-0.0059404,0.024709,-0.055023,0.080635,-0.022739,0.00117
