"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"2,4-Di-tert-butylphenol",-0.069794,0.13425,-0.035719,0.042574,-0.047705,-0.015248,0.027443,-0.0060756
"Mulberrin",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Limocitrin",-0.052006,-0.0059802,0.11815,0.063503,-0.021631,-0.01177,0.043818,-0.058
"2',4'-Dihydroxyacetophenone",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Indole-3-methyl acetate",-0.031112,0.1581,-0.06376,0.065309,-0.029682,0.075601,0.036249,-0.010119
"5,7,3'-Trihydroxy-4'-methoxyflavanone",0.026477,0.021902,0.030257,0.067957,0.11699,-0.15643,-0.064404,0.13658
"1,2,3-Propanetricarboxylic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"4-tert-Butylphenol",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Methylparaben",-0.028352,0.032557,0.062353,-0.14953,0.11153,-0.068992,0.13364,-0.1192
"Propylparaben",-0.012387,-0.015651,0.069895,-0.11793,-0.05134,0.010312,0.037437,0.05503
"2-Propylphenol",0.062182,0.021972,-0.10598,0.045725,0.03135,-0.046907,0.10963,-0.074684
"Colubrinic acid",-0.0036186,-0.049898,0.014262,-0.001329,0.024053,0.049276,-0.072823,0.10127
"Glycocholic acid",0.047757,0.0090056,-0.1589,-0.0033708,0.034184,0.0098471,0.098229,-0.050219
"2-Hydroxyadipic acid",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Ursocholic acid",0.021696,-0.0032004,0.036705,-0.10255,-0.013045,0.14734,-0.14665,0.062495
"p-Hydroxyhippuric acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Hesperetin 7-neohesperidoside",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Vanillin 4-sulfate",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"p-Coumaric acid sulfate",0.054384,0.023218,0.0042816,-0.00061765,-0.040936,-0.028534,-0.073375,-0.16269
"Octadecanedioic acid",0.044835,0.017563,-0.034985,-0.0069391,-0.084684,0.041285,0.11877,0.020569
"Serotonin",0.03765,0.0074609,-0.017057,0.035292,-0.023612,-0.067045,0.1124,0.064222
"Tetrahydrobiopterin",0.045149,0.0081776,-0.12982,-0.15794,0.13717,0.0025012,0.029498,0.0038264
"Bilirubin",-0.017045,-0.038589,0.052299,-0.10203,0.061456,0.14646,-0.096827,0.13196
"Cyclic AMP",-0.045603,-0.077514,0.050531,0.031594,0.1366,0.071932,0.038085,-0.065862
"Pipecolic acid",-0.022726,-0.048776,0.0099312,0.049042,0.020545,0.0050671,-0.013142,-0.00046943
"gamma-Aminobutyric acid",-0.055892,0.09624,0.0091353,-0.019837,-0.034139,0.058383,-0.026454,0.093982
"Guanine",-0.028462,0.023666,0.062118,-0.14889,0.11521,-0.066816,0.13498,-0.1181
"Glutamic acid",-0.018749,0.14092,-0.03571,-0.077313,0.034336,0.036227,-0.057361,0.043038
"L-Tyrosine",0.020569,-0.081866,-0.069285,0.040528,0.057164,0.10461,-0.081523,-0.014283
"Indoleacetic acid",-0.022514,-0.011146,-0.022833,-0.0073064,-0.089609,0.10445,0.18476,-0.10776
"L-Acetylcarnitine",-0.026294,0.032261,0.062248,-0.15238,0.10817,-0.073375,0.13638,-0.11796
"Methylmalonic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Oleic acid",-0.065055,0.13947,-0.053835,0.03027,-0.017003,0.016099,0.047099,-0.031223
"Orotic acid",-0.062187,-0.0080615,0.02048,0.099287,0.071127,-0.16084,0.0065329,0.052794
"Pyridoxine",-0.032496,-0.021409,0.023523,0.039654,0.1167,0.10728,-0.10579,-0.025059
"Sphingosine",-0.02216,-0.13892,0.024138,0.027845,-0.11129,0.060516,0.041839,0.029536
"Pyroglutamic acid",0.021514,0.0013838,0.091018,0.093754,0.027141,-0.0091668,0.041054,0.042635
"Sphinganine",-0.079584,0.083257,0.097418,0.0021078,0.021447,-0.044819,0.053851,0.010934
"Urocanic acid",0.026288,-0.016842,0.0093614,-0.13765,0.096376,-0.12568,0.12271,0.074669
"Tyramine",0.066749,0.024348,-0.089733,0.02597,0.013814,-0.0016031,0.049444,-0.14293
"12-Ketodeoxycholic acid",0.027952,-0.023568,0.027203,0.012726,-0.062543,0.02854,0.043392,-0.018669
"3-Hydroxyadipic acid",0.051717,0.014345,-0.15619,-0.026199,0.048161,0.086048,0.083716,-0.071159
"7-Ketodeoxycholic acid",-0.010161,-0.048832,0.014688,0.029322,-0.050093,0.024854,0.099358,0.069864
"17alpha-Estradiol",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Allocholic acid",0.016937,-0.067682,0.02295,0.026188,-0.049289,0.027328,0.027597,-0.003503
"3-Hydroxyvaleric acid",0.038645,-0.0035733,0.0033307,-0.077274,-0.039423,0.051072,0.019909,0.11541
"Elaidic acid",0.022581,-0.071114,0.047586,-0.043004,-0.074385,0.13963,0.035036,0.0052143
"2-Furoic acid",-0.027134,-0.013044,-0.13539,0.0066674,-0.025478,0.013577,0.13146,-0.149
"Glutaric acid",0.013753,-0.034169,-0.012967,0.01574,0.075592,0.023107,-0.14196,-0.097772
"Indolelactic acid",-0.063607,-0.0053275,-0.0024606,0.11276,0.095027,-0.16479,0.028865,0.053701
"Linoleic acid",-0.062963,0.13886,-0.0784,0.071125,-0.033518,0.046154,0.019357,-0.020468
"1-Methylnicotinamide",0.055545,0.018251,-0.11932,-0.015044,0.051874,-0.036115,-0.0038147,-0.0007869
"Hydroxyoctanoic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Kynurenic acid",0.052491,0.014543,-0.14881,-0.023261,0.046621,0.087565,0.091424,-0.062918
"L-Pipecolic acid",-0.043449,-0.015602,-0.043474,0.11603,0.085076,0.09703,-0.031174,-0.055949
"5-Hydroxyindoleacetic acid",0.063102,0.016079,-0.1063,-0.058882,0.037476,0.083327,-0.057347,-0.062995
"Pseudouridine",0.057445,0.017905,0.062266,0.025018,-0.07394,-0.024755,0.046932,-0.073976
"Octanoylcarnitine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Pelargonic acid",-0.063471,0.1171,-0.029204,0.12103,-0.023754,0.048831,-0.020092,1.1572e-05
"Histamine",0.046401,0.015718,0.066931,0.011766,0.015014,-0.06906,0.014978,0.13199
"Acetylcholine",0.0016775,0.019215,-0.046848,-0.0022637,0.043474,-0.018081,-0.25628,0.019092
"7-Methylguanine",0.040951,0.0041648,-0.1564,-0.078614,0.06863,0.017032,-0.13419,0.0053276
"Androstanedione",-0.024453,-0.10993,-0.041563,-0.057946,-0.11014,-0.15094,-0.056249,-0.01625
"Citrulline",-0.016793,0.0936,0.022975,-0.14901,0.06944,-0.011198,-0.085075,0.079861
"Behenic acid",0.021054,0.010699,0.1019,-0.042062,0.10476,0.069761,-0.1553,-0.11059
"Trehalose",-0.022816,-0.043858,0.012894,-0.0027749,0.069377,0.017384,-0.031776,-0.020881
"DL-2-Aminooctanoic acid",0.034273,-0.06398,-0.036995,-0.0078407,0.076632,0.01313,-0.026176,0.053144
"Biliverdin",-0.029232,0.021535,0.047051,-0.11983,0.094288,0.071465,-0.12063,0.086438
"gamma-Glutamylcysteine",0.054492,-0.033827,-0.047756,0.043327,-0.029272,-0.1222,0.079842,0.0085801
"2-Phenylaminoadenosine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Spermidine",-0.050236,0.10899,-0.083004,0.089958,-0.10872,0.0065208,-0.073949,-0.027937
"N6,N6,N6-Trimethyl-L-lysine",-0.02466,-0.017145,-0.21824,-0.045877,0.103,0.0049117,0.064297,0.066906
"Pyridoxamine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"3-Hydroxyanthranilic acid",0.043111,0.0068223,-0.037593,-0.077213,-0.041874,-0.17969,0.085013,-0.096387
"Nicotinic acid",-0.060111,0.070447,0.0099391,-0.002313,0.075747,0.0072505,0.076258,-0.077029
"N-Acetyllactosamine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Glucose 1-phosphate",-0.034045,0.13005,-0.077794,0.05329,-0.054665,0.068428,0.012049,-0.038865
"L-Norleucine",-0.0070726,0.046092,0.012343,-0.0017242,0.12951,-0.13512,-0.10927,0.16717
"Acetone",-0.0052215,0.063254,0.09285,-0.090333,0.10064,-0.091662,0.004305,-0.040588
"Ethenodeoxyadenosine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Guanidine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"all-trans-Retinoic acid",-0.073333,0.13525,-0.0005883,0.0063776,0.031253,-0.026091,0.047566,-0.048347
"2-Ethylacrylic acid",-0.038423,0.0011856,-0.020523,0.09535,-0.066044,0.067015,-0.04971,0.013791
"17a-Ethynylestradiol",-0.050752,0.14632,-0.089302,0.059575,-0.054538,0.045718,0.019165,-0.0064615
"3,7-Dimethyluric acid",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"7-Methylxanthine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Eicosapentaenoic acid",-0.060295,0.0057806,0.12128,-0.067122,0.11577,-0.072139,0.047798,-0.025246
"Imidazoleacetic acid",0.056814,0.011827,-0.046845,0.016,-0.041202,-0.0063428,0.14178,-0.022127
"2-Pyrrolidinone",-0.037104,0.16184,-0.11844,0.010246,-0.052391,0.084446,-0.029948,0.022717
"3-Indolebutyric acid",-0.0078431,0.026742,0.048664,-0.16501,0.10698,-0.071611,0.10747,-0.13442
"1,3,7-Trimethyluric acid",-0.027506,0.034613,0.05844,-0.14707,0.10247,-0.073671,0.13953,-0.1197
"N8-Acetylspermidine",-0.0031775,0.03348,-0.030121,-0.08764,0.19856,-0.13141,0.017626,0.015047
"2-Phenylglycine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"3,4-Dimethylbenzoic acid",-0.057212,0.16144,0.0045889,0.040674,0.029156,0.0012496,0.033703,-0.077773
"7,8-Dihydroneopterin",0.074307,0.024567,-0.076431,0.036796,0.047004,-0.039475,0.084263,0.020998
"Terephthalic acid",-0.038912,0.087771,0.026585,-0.12368,0.044843,-0.010726,-0.088471,0.082099
"Nandrolone",-0.025962,0.11322,-0.113,0.031768,-0.0024541,0.065139,0.084383,-0.016154
"Cortisone",-0.055549,-0.07297,-0.0038618,0.039143,0.010034,-0.02807,-0.0076004,-0.021966
"Methylimidazoleacetic acid",-0.044554,0.00038502,0.00018328,0.095781,-0.11597,-0.0101,0.067938,0.040827
"Palmitoleic acid",-0.059229,0.14242,-0.068505,0.072116,-0.022616,0.044752,0.0243,-0.025554
"Nicotinuric acid",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"1-Methyladenosine",0.081729,0.028315,0.066547,-0.001693,-0.044965,0.03455,-0.0067199,-0.058622
"Symmetric dimethylarginine",-0.037807,0.022392,0.076569,-0.15105,0.1246,-0.063603,0.11985,-0.10235
"5-Aminopentanoic acid",-0.037149,0.11712,0.0030952,0.052587,-0.067076,0.086757,-0.015579,0.044257
"Pyrimidine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Diacetyl",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"D-Proline",-0.035815,0.10202,0.0010338,-0.10206,0.02118,0.027092,-0.076121,0.087681
"L-Histidinol",-0.048318,0.078307,-0.042305,0.11532,-0.076899,-0.0060314,-0.050698,-0.0039531
"4-Guanidinobutanoic acid",-0.025513,0.11617,-0.067194,0.042166,-0.097953,0.12024,-0.11485,0.019848
"4-Acetamidobutanoic acid",-0.037591,0.12509,-0.079067,0.066242,-0.096033,0.092999,-0.062898,0.011097
"Gamma-Caprolactone",0.056492,0.013918,-0.13072,-0.016851,0.0096231,-0.050658,0.067048,-0.010926
"5-Methoxytryptamine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Enterolactone",-0.013815,-0.13646,0.031211,0.025166,-0.12774,0.054264,0.031437,0.015205
"Phenylacetaldehyde",-0.043999,0.10099,0.019948,-0.10903,0.045596,0.016577,-0.084034,0.073175
"beta-Tocopherol",-0.015035,-0.0070598,0.13195,-0.020319,-0.11755,0.13279,0.096261,-0.021867
"Stearidonic acid",0.0098014,-0.052127,0.12151,-0.0040904,-0.091253,0.10384,-0.013776,-0.045473
"LysoPE(16:0/0:0)",0.044949,-0.022255,0.0030763,-0.022095,-0.079723,0.0046487,0.067376,0.023895
"MG(0:0/16:0/0:0)",-0.028316,0.091732,-0.0936,0.16945,0.0014624,-0.039777,-0.084952,0.04915
"3-Methyladenine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"4-Hydroxybenzaldehyde",0.060968,0.020581,-0.15478,-0.0045042,0.046394,0.010868,0.064117,-0.10663
"Phenylethylamine",-0.052721,-0.00087988,0.16713,0.043918,-0.033608,0.060118,-0.061594,-0.097951
"N-Acetylhistamine",0.027195,0.00092794,0.055545,-0.010076,0.042785,-0.087695,-0.0066497,0.19334
"Alpha-Linolenoyl ethanolamide",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Palmitoleoylethanolamde",-0.032953,0.032558,0.080791,0.022575,-0.064317,-0.0072584,-0.0018579,-0.024578
"1,3,5-Trihydroxybenzene",0.019679,-0.074193,-0.06176,0.067616,0.14325,0.039663,-0.10415,-0.11219
"N-Acetyltryptophan",-0.026575,0.033816,0.062489,-0.15286,0.1076,-0.073046,0.13613,-0.11722
"Norvaline",-0.04638,0.092624,0.026079,-0.077813,0.036538,0.005485,-0.090165,0.06218
"Diisobutyl phthalate",-0.072141,0.13091,0.004988,0.0055529,0.044567,0.0022362,0.051958,-0.069035
"Mesalazine",0.023953,-0.026748,-0.01775,-0.017442,0.10015,0.018405,0.080656,-0.19228
"Prednisolone",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Alanylisoleucine",-0.02566,0.063626,0.029886,-0.14448,0.10073,-0.070974,-0.10849,0.10937
"Alanylvaline",0.026464,-0.011918,-0.085644,-0.087344,0.091065,-0.13786,-0.10665,0.12812
"Isoleucyl-Aspartate",-0.04023,0.053135,0.14602,-0.089278,0.16088,-0.04248,0.035071,-0.099765
"Isoleucyl-Glutamine",0.068935,0.0081599,-0.07187,0.033665,0.01703,-0.042484,0.072048,-0.099456
"Isoleucyl-Isoleucine",0.049162,0.014436,-0.062961,-0.03152,0.1239,-0.10207,-0.10838,0.12236
"Leucylleucine",0.033887,0.011469,-0.053743,0.012772,0.148,-0.14495,-0.019891,0.12612
"Piperine",0.024432,0.00018298,0.070551,-0.090296,-0.021597,0.16921,-0.12508,0.041657
"Indole-3-carboxaldehyde",-0.051871,-0.029691,-0.034652,0.03335,-0.048581,0.048518,0.088895,0.086713
"Methyl nicotinate",-0.09352,-0.025388,0.076938,0.032995,-0.027512,-0.043698,-0.01551,0.0021163
"beta-D-Glucosamine",-0.0012825,-0.045948,-0.023416,-0.015125,0.12479,0.021762,-0.081251,-0.14028
"(E)-Piperolein A",-0.035288,0.13651,-0.0097228,-0.01864,0.017793,0.027132,-0.065796,-0.096329
"(S)-Laudanosine",-0.0016987,-0.017793,0.033783,-0.13452,-0.071804,0.16203,-0.14634,0.030702
"Hydrocinchonine",-0.0049612,0.00072609,0.13272,0.035388,-0.035024,0.10046,0.081065,-0.031371
"(S)-2-Propylpiperidine",-0.029229,0.10982,-0.071469,0.041665,-0.088896,0.11252,-0.1081,0.02072
"Harmine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"2(3H)-Benzothiazolethione",0.062362,0.050498,-0.086629,-0.059108,0.019496,0.11772,0.013479,-0.08274
"2-Ethoxyethanol",-0.057504,0.11217,0.00013274,-0.066992,0.052628,0.0036777,-0.086196,0.049282
"Cyclamic acid",-0.090163,-0.028739,-0.00048207,0.028197,-0.017146,-0.012839,0.06351,-0.025086
"Pyrrolidine",-0.042351,0.12266,-0.063198,-0.047505,0.024852,0.042554,-0.069645,0.058389
"4'-Methoxyacetophenone",-0.042006,0.010668,0.12959,-0.16379,0.12648,-0.050894,0.10689,-0.030115
"Jasmonic acid",-0.046729,0.00687,0.086257,-0.029107,0.039943,-0.04736,-0.12124,0.08426
"beta-Solanine",-0.052839,0.056479,-0.016166,0.04733,-0.040887,-0.044875,-0.0084185,-0.040307
"Soyasapogenol C",0.051451,-0.0089625,0.046403,-0.10003,-0.041393,0.074893,-0.12877,0.051734
"Paullinic acid",-0.033599,0.12213,-0.097336,0.085428,-0.05202,0.060687,0.043816,-0.027463
"(-)-Menthone",-0.055969,0.078717,0.024266,-0.070506,0.070302,-0.021721,0.044227,-0.050584
"Salsolinol",-0.03198,0.0049889,-0.10217,0.067117,0.13519,-0.079344,0.0060772,-0.069517
"Isonicotinic acid",0.066678,0.021252,-0.1703,-0.0056805,0.080378,-0.046535,-0.0068873,-0.062426
"DOPA",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Flavin mononucleotide",0.032486,0.018721,0.011434,0.092371,0.10521,-0.1538,0.021632,0.16133
"p-Synephrine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Cyromazine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Octanol",0.0217,-0.0053078,0.029752,-0.11096,-0.017301,0.15702,-0.13526,0.070881
"N-Acetylputrescine",0.016933,-0.0069931,0.029252,-0.11222,-0.017517,0.15841,-0.13652,0.071585
"N-Acetyl-Leu",0.031295,-0.00060322,0.04501,-0.10639,-0.030716,0.17095,-0.13474,0.040111
"Phytosphingosine-1-P",0.040777,0.022114,-0.00032039,0.020619,0.09628,-0.13093,-0.15883,0.075921
"Stanozolol",-0.014427,-0.0022204,-0.012098,0.056704,0.035008,-0.098714,0.021388,0.042414
"Leucyl-Valine",0.0067401,0.013803,-0.047421,-0.15248,0.19238,-0.13862,0.083021,-0.016966
"Cinchonidine",0.016705,-0.0057902,0.027335,-0.11178,-0.024129,0.15233,-0.16443,0.038474
"Gulonic acid",0.055489,0.023466,0.019513,0.0057634,0.093978,-0.031347,-0.080121,0.11483
"11b-Hydroxyandrost-4-ene-3,17-dione",0.035352,0.030903,0.13505,0.083429,0.041,0.007796,-0.00099345,-0.0058323
"Oleoylethanolamide",0.0093013,-0.074724,-0.001097,-0.087726,-0.007962,0.14752,-0.083759,0.082344
"3-Nitrotyrosine",0.063095,0.012628,-0.14445,-0.014169,0.0016874,0.031086,0.1431,-0.044191
"Deoxycholic acid glycine conjugate",0.034151,0.02263,0.021438,-0.13769,-0.0079626,0.13237,-0.09899,0.073641
"Butyrylcarnitine",-0.056393,-0.017031,-0.15864,0.0031861,0.12229,-0.084648,-0.0042499,0.073355
"Glycyl-Isoleucine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Cyclohexylamine",-0.066198,0.1383,-0.036264,0.062088,-0.042961,-0.0049828,0.0065743,-0.024841
"Betulin",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"4-Pyridoxic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"L-Dihydroorotic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Isomaltose",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Cer(d18:1/16:0)",0.022538,-0.019897,0.11772,-0.0064161,-0.055878,0.082956,0.064279,0.052572
"Oxoadipic acid",0.057462,0.0053225,-0.022993,-0.087541,-0.098393,0.046107,-0.0094712,-0.030464
"Estrone",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Corticosterone",-0.032989,-0.053194,0.030897,-0.054096,0.10856,0.13482,-0.1109,0.04781
"Hydroxyacetone",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"L-Cystine",0.0013676,0.063415,0.038543,-0.12514,0.044948,0.021706,-0.065495,0.11715
"DL-Homocystine",0.054021,0.022135,-0.034407,0.08422,-0.1215,-0.043859,0.052841,0.006169
"Creatinine",-0.025614,0.037857,0.073435,-0.18449,0.099937,-0.058811,0.13222,-0.076111
