"","V","p.value","-log10(p)","FDR"
"Kynurenic acid",0,6.3864e-05,4.1947,0.00021813
"5-Hydroxyindoleacetic acid",0,6.3864e-05,4.1947,0.00021813
"Pseudouridine",0,6.3864e-05,4.1947,0.00021813
"7,8-Dihydroneopterin",0,6.3864e-05,4.1947,0.00021813
"1-Methyladenosine",0,6.3864e-05,4.1947,0.00021813
"Gamma-Caprolactone",0,6.3864e-05,4.1947,0.00021813
"Methyl nicotinate",100,6.3864e-05,4.1947,0.00021813
"Cyclamic acid",100,6.3864e-05,4.1947,0.00021813
"Isonicotinic acid",0,6.3864e-05,4.1947,0.00021813
"Flavin mononucleotide",0,6.3864e-05,4.1947,0.00021813
"Phytosphingosine-1-P",0,6.3864e-05,4.1947,0.00021813
"3-Nitrotyrosine",0,6.3864e-05,4.1947,0.00021813
"Isoleucyl-Glutamine",6,0.00032475,3.4884,0.001095
"N-Acetyl-D-glucosamine",8,0.00072528,3.1395,0.0024145
"p-Cresol",10,0.0014209,2.8474,0.0043965
"D-Cysteine",10,0.0014209,2.8474,0.0043965
"3-Hydroxyadipic acid",10,0.0014209,2.8474,0.0043965
"Histamine",10,0.0014209,2.8474,0.0043965
"Imidazoleacetic acid",10,0.0014209,2.8474,0.0043965
"4-Hydroxybenzaldehyde",10,0.0014209,2.8474,0.0043965
"Sphinganine",89,0.0020892,2.68,0.0063892
"Malonic acid",88,0.0028795,2.5407,0.008509
"2,4-Di-tert-butylphenol",88,0.0028795,2.5407,0.008509
"Piplartine",88,0.0028795,2.5407,0.008509
"all-trans-Retinoic acid",86,0.005196,2.2843,0.014538
"L-Histidinol",86,0.005196,2.2843,0.014538
"Isoleucyl-Isoleucine",14,0.005196,2.2843,0.014538
"2(3H)-Benzothiazolethione",14,0.005196,2.2843,0.014538
"Soyasapogenol C",14,0.005196,2.2843,0.014538
"Indole-3-carboxaldehyde",85,0.0068415,2.1649,0.018743
"p-Anisidine",85,0.0068415,2.1649,0.018743
"Heneicosanoic acid",84,0.0089307,2.0491,0.023967
"Cyclohexylamine",84,0.0089307,2.0491,0.023967
"Lactic acid",83,0.011496,1.9394,0.029354
"Linoleic acid",83,0.011496,1.9394,0.029354
"Palmitoleic acid",83,0.011496,1.9394,0.029354
"Diisobutyl phthalate",83,0.011496,1.9394,0.029354
"beta-Solanine",83,0.011496,1.9394,0.029354
"Dehydroepiandrosterone sulfate",82,0.01469,1.833,0.03504
"Androstanedione",82,0.01469,1.833,0.03504
"Eicosapentaenoic acid",82,0.01469,1.833,0.03504
"3-Indolebutyric acid",18,0.01469,1.833,0.03504
"m-Coumaric acid",20,0.017187,1.7648,0.03504
"Adrenic acid",20,0.017187,1.7648,0.03504
"Limocitrin",80,0.017187,1.7648,0.03504
"Methylparaben",80,0.017187,1.7648,0.03504
"2-Propylphenol",20,0.017187,1.7648,0.03504
"Glycocholic acid",20,0.017187,1.7648,0.03504
"p-Coumaric acid sulfate",20,0.017187,1.7648,0.03504
"Orotic acid",80,0.017187,1.7648,0.03504
"Tyramine",20,0.017187,1.7648,0.03504
"Indolelactic acid",80,0.017187,1.7648,0.03504
"N6,N6,N6-Trimethyl-L-lysine",80,0.017187,1.7648,0.03504
"N-Acetylputrescine",80,0.017187,1.7648,0.03504
"N-Acetyl-Leu",20,0.017187,1.7648,0.03504
"Stanozolol",80,0.017187,1.7648,0.03504
"Cinchonidine",80,0.017187,1.7648,0.03504
"Gulonic acid",20,0.017187,1.7648,0.03504
"Butyrylcarnitine",80,0.017187,1.7648,0.03504
"Oxoadipic acid",20,0.017187,1.7648,0.03504
"L-Cystine",20,0.017187,1.7648,0.03504
"DL-Homocystine",20,0.017187,1.7648,0.03504
"Temazepam",80,0.017187,1.7648,0.03504
"Leucyl-Glycine",80,0.017187,1.7648,0.03504
"Leucinic acid",80,0.023231,1.6339,0.045594
"D-Tryptophan",80,0.023231,1.6339,0.045594
"Propylparaben",80,0.023231,1.6339,0.045594
"Deoxycholic acid glycine conjugate",20,0.023231,1.6339,0.045594
"Monoethylhexyl phthalic acid",80,0.023231,1.6339,0.045594
